Membership No  Date Joined  Active  
    38994      2020-9-25    no    
    66453      2020-2-15    no    
    67915      2018-9-1     no    
    67017      2016-10-23   no    
    15596      2015-9-13    no    
    84483      2015-6-8     no    
    99179      2016-6-20    no    
    82636      2015-6-25    no    
    80454      2018-3-9     no    
    64199      2017-11-24   no    
    50142      2017-9-16    no    
    81077      2018-6-9     no    
    15880      2016-1-20    no    
    17001      2019-5-6     no    
    60816      2018-9-24    no    
    61766      2016-8-19    no    
    96305      2016-7-16    no    
    29855      2015-6-5     no    
    45671      2015-12-10   no    
    44167      2019-1-24    no    
    89182      2018-3-1     no    
    31986      2019-5-7     no    
    75205      2018-6-15    no    
    10713      2020-5-20    no    
    14565      2020-9-9     no    
    87094      2016-6-22    no    
    77762      2020-12-25   no    
    90365      2017-5-21    no    
    69356      2016-7-18    no    
    71595      2015-9-13    no    
    57481      2015-3-11    no    
    53043      2018-1-18    no    
    66441      2015-12-8    no    
    80892      2015-11-7    no    
    73859      2019-10-16   no    
    51111      2016-5-7     no    
    80526      2019-4-6     no    
    52675      2017-2-8     no    
    29840      2019-5-19    no    
    93838      2015-7-23    no    
    56049      2020-11-19   no    
    72201      2017-2-15    no    
    90064      2015-1-6     no    
    65419      2019-1-8     no    
    64023      2018-5-22    no    
    93427      2019-12-19   no    
    83161      2020-9-6     no    
    27485      2019-5-15    no    
    68068      2019-7-14    no    
    28055      2016-4-25    no    
    56554      2018-9-7     no    
    45130      2016-10-5    no    
    75331      2017-7-3     no    
    40594      2019-4-5     no    
    38170      2016-7-18    no    
    36829      2018-4-1     no    
    12894      2020-3-25    no    
    39273      2018-10-3    no    
    48515      2015-2-13    no    
    84228      2019-10-15   no    
    93994      2015-4-18    no    
    52518      2016-4-20    no    
    27567      2020-11-23   no    
    52486      2020-4-10    no    
    55037      2017-10-2    no    
    76752      2018-1-25    no    
    10238      2020-9-3     no    
    73093      2015-2-25    no    
    34393      2016-5-5     no    
    80528      2019-2-21    no    
    92052      2019-5-24    no    
    28011      2018-2-4     no    
    79674      2019-1-18    no    
    48829      2015-3-15    no    
    55565      2016-2-10    no    
    81568      2015-10-3    no    
    68136      2016-5-6     no    
    77180      2017-9-22    no    
    64320      2017-3-19    no    
