Membership No  Date Joined  Active  
    52445      2018-6-15    no    
    70418      2019-6-4     no    
    59499      2016-10-10   no    
    72137      2017-2-13    no    
    29995      2015-8-22    no    
    14237      2019-6-25    no    
    71792      2018-8-8     no    
    23838      2015-5-25    no    
    60696      2019-8-11    no    
    76548      2018-11-9    no    
    99529      2020-5-3     no    
    43010      2019-5-2     no    
    45606      2018-10-19   no    
    95558      2015-10-15   no    
    62891      2017-2-7     no    
    37138      2017-7-24    no    
    11386      2015-8-16    no    
    14359      2019-3-8     no    
    19308      2018-4-24    no    
    53144      2016-5-17    no    
    24800      2015-5-10    no    
    99088      2015-6-20    no    
    36327      2017-9-13    no    
    41221      2015-12-18   no    
    88286      2015-2-11    no    
    28584      2016-3-8     no    
    20950      2019-10-21   no    
    40823      2015-8-6     no    
    10031      2020-11-25   no    
    36853      2016-6-21    no    
    67655      2017-10-8    no    
    36509      2017-3-10    no    
    30676      2017-5-14    no    
    23863      2017-7-10    no    
    34090      2019-12-22   no    
    26892      2016-10-6    no    
    11278      2015-5-15    no    
    30431      2020-10-5    no    
    74534      2015-5-12    no    
    58934      2016-1-16    no    
    36047      2019-10-5    no    
    25673      2020-12-23   no    
    96627      2016-12-3    no    
    13414      2020-7-4     no    
    43544      2019-9-24    no    
    77309      2018-8-22    no    
    89162      2019-1-20    no    
    83623      2019-8-14    no    
    47103      2015-1-11    no    
    27137      2015-4-12    no    
    14239      2018-2-22    no    
    66336      2019-1-16    no    
    77706      2015-3-22    no    
    73218      2018-8-17    no    
    80669      2020-6-16    no    
    34293      2017-8-19    no    
    10633      2017-4-9     no    
    11435      2018-8-24    no    
    70776      2020-10-20   no    
    34850      2018-9-13    no    
    48258      2017-4-6     no    
    49659      2019-2-15    no    
    56119      2015-8-23    no    
    41485      2016-2-14    no    
    18329      2020-7-4     no    
    42717      2020-7-2     no    
    14177      2019-8-16    no    
    97064      2020-9-5     no    
    70793      2015-9-14    no    
    63329      2016-9-13    no    
    60538      2020-2-13    no    
    19777      2015-3-1     no    
    60981      2017-8-25    no    
    35935      2016-1-12    no    
    19274      2018-3-2     no    
    15474      2017-8-12    no    
    66265      2019-3-17    no    
    46115      2018-5-20    no    
    72332      2020-11-18   no    
    99010      2019-9-6     no    
    34090      2017-1-14    no    
    69414      2020-2-10    no    
    30662      2017-5-6     no    
    74144      2018-3-17    no    
    25156      2020-2-2     no    
    63633      2019-4-2     no    
    10405      2017-4-14    no    
    16796      2018-5-14    no    
    65754      2016-4-1     no    
    89093      2018-9-24    no    
    44021      2019-6-12    no    
    27103      2015-8-19    no    
    30987      2015-11-23   no    
    75221      2018-12-2    no    
    63947      2018-10-14   no    
    63531      2018-3-12    no    
    42026      2019-9-13    no    
    14277      2016-3-24    no    
    96848      2017-5-20    no    
    42714      2020-4-4     no    
    18571      2016-9-5     no    
    48289      2017-9-15    no    
    87428      2016-5-13    no    
    99480      2017-4-20    no    
    14688      2017-9-20    no    
    24287      2017-7-7     no    
    14272      2018-11-6    no    
    85763      2017-12-13   no    
    84957      2017-10-22   no    
    30119      2020-12-1    no    
    91673      2017-4-1     no    
    14197      2018-12-23   no    
    82576      2016-5-20    no    
    36905      2020-10-7    no    
    79552      2020-1-4     no    
    74553      2017-1-17    no    
    42970      2016-3-11    no    
    52165      2017-6-14    no    
    91572      2020-9-9     no    
    66276      2015-7-6     no    
    30363      2019-1-1     no    
    88779      2017-11-17   no    
    78561      2020-6-25    no    
    62983      2020-1-15    no    
    67369      2020-2-2     no    
    97271      2015-7-10    no    
    77497      2017-9-13    no    
    35421      2020-4-11    no    
    79536      2019-10-12   no    
    35067      2017-12-15   no    
    46843      2019-7-23    no    
    99039      2020-8-24    no    
    11558      2017-1-4     no    
    48804      2019-4-3     no    
    75630      2016-6-6     no    
    39468      2017-1-3     no    
    71564      2019-7-25    no    
    40066      2015-10-18   no    
    84848      2017-2-5     no    
    23330      2016-9-21    no    
    40429      2017-6-7     no    
    34932      2016-8-23    no    
    24634      2017-2-4     no    
    77969      2016-8-2     no    
    96798      2018-10-4    no    
    31744      2019-2-23    no    
    95436      2018-5-8     no    
    27609      2020-9-5     no    
    82300      2016-3-18    no    
    61720      2015-5-15    no    
    63415      2019-9-3     no    
    30854      2018-2-18    no    
    33358      2018-3-24    no    
    94305      2015-7-10    no    
    65466      2019-3-9     no    
    29407      2018-3-6     no    
    44454      2020-4-16    no    
    86611      2018-6-4     no    
    41639      2017-8-15    no    
    71594      2017-12-15   no    
    60803      2017-9-7     no    
    14370      2016-5-25    no    
    97737      2016-9-19    no    
    93574      2016-7-17    no    
    97087      2020-7-21    no    
    20038      2015-6-21    no    
    63848      2019-5-1     no    
    84449      2015-8-12    no    
    77751      2019-5-10    no    
    16643      2019-4-8     no    
    63515      2018-11-16   no    
    37142      2016-7-25    no    
    99093      2019-11-6    no    
    39224      2016-9-12    no    
    72236      2020-7-2     no    
    27399      2019-3-22    no    
    73925      2018-6-3     no    
    49986      2017-6-20    no    
    55257      2018-12-23   no    
    90750      2020-3-24    no    
    53957      2020-9-15    no    
    36217      2016-12-1    no    
    91928      2019-12-7    no    
    11179      2018-9-9     no    
    61961      2017-5-24    no    
    21083      2015-1-5     no    
    33557      2018-3-18    no    
    22506      2016-10-14   no    
    50673      2016-11-20   no    
    56686      2019-11-23   no    
    12261      2017-10-7    no    
    91712      2020-5-3     no    
    44068      2020-9-11    no    
    20179      2016-1-1     no    
    86070      2018-1-3     no    
    35943      2018-11-10   no    
    67321      2020-3-3     no    
    89552      2016-3-14    no    
    20672      2017-11-11   no    
    64375      2019-6-19    no    
    31871      2017-2-8     no    
    34653      2015-10-8    no    
    62448      2018-1-3     no    
    89586      2016-8-22    no    
    83414      2020-9-10    no    
    47033      2018-4-4     no    
    24370      2018-1-22    no    
    55314      2017-12-12   no    
    74584      2016-8-7     no    
    46055      2015-4-17    no    
    33248      2017-1-10    no    
    98653      2018-2-2     no    
    89802      2019-6-20    no    
    68022      2017-3-25    no    
    92732      2019-1-10    no    
    72004      2018-10-3    no    
    26201      2019-1-7     no    
    74490      2017-12-4    no    
    19914      2020-5-25    no    
    17291      2015-7-22    no    
    47926      2016-2-4     no    
    50575      2016-2-6     no    
    10226      2020-6-15    no    
    99309      2015-4-12    no    
    65872      2016-6-11    no    
    97828      2017-11-12   no    
    76099      2020-1-17    no    
    18761      2018-1-14    no    
    79048      2017-4-1     no    
    91680      2019-1-13    no    
    34543      2020-4-12    no    
    93727      2018-4-21    no    
    95377      2017-2-3     no    
    83765      2020-1-25    no    
    48177      2016-10-9    no    
    97109      2016-2-15    no    
    35429      2016-7-17    no    
    80859      2020-2-17    no    
    69214      2016-5-17    no    
    28554      2019-9-12    no    
    63447      2018-3-10    no    
    91547      2017-12-3    no    
    29119      2017-12-2    no    
    77711      2019-12-3    no    
    45326      2017-2-6     no    
    83178      2020-1-24    no    
    64220      2015-8-10    no    
    21739      2017-3-18    no    
    71501      2015-3-12    no    
    52398      2016-5-9     no    
    23491      2019-4-14    no    
    91067      2018-8-8     no    
    54187      2019-8-3     no    
    97645      2015-12-9    no    
    86804      2016-3-10    no    
