Membership No  Date Joined  Active  
    66896      2016-12-13   yes   
    64830      2018-8-7     yes   
    80168      2020-11-11   yes   
    88663      2017-10-16   yes   
    68043      2016-2-25    yes   
    94599      2017-10-9    yes   
    42788      2018-4-12    yes   
    80139      2018-1-7     yes   
    72384      2020-10-3    yes   
    62965      2018-7-9     yes   
    93565      2018-9-10    yes   
    55509      2016-6-16    yes   
    53157      2016-9-7     yes   
    41718      2015-1-4     yes   
    70670      2017-1-19    yes   
    74192      2019-9-1     yes   
    23177      2019-2-23    yes   
    42428      2016-5-1     yes   
    54552      2019-7-14    yes   
    45212      2019-1-24    yes   
    40476      2017-9-6     yes   
    88768      2015-2-18    yes   
    14422      2019-7-15    yes   
    90480      2018-10-6    yes   
    38986      2020-2-19    yes   
    63663      2016-5-7     yes   
    68478      2016-7-13    yes   
    31825      2016-1-18    yes   
    79621      2019-8-11    yes   
    99958      2019-10-24   yes   
    58568      2018-4-8     yes   
    97736      2020-3-9     yes   
    18870      2019-11-21   yes   
    32152      2015-5-24    yes   
    48552      2019-11-20   yes   
    25950      2016-10-16   yes   
    43651      2017-9-2     yes   
    44904      2016-6-7     yes   
    20704      2016-8-12    yes   
    46675      2020-7-15    yes   
    50445      2019-4-7     yes   
    53925      2015-12-5    yes   
    95642      2015-9-16    yes   
    44342      2018-9-22    yes   
    33918      2016-7-14    yes   
    98785      2015-8-9     yes   
    66246      2017-7-9     yes   
    15140      2020-7-24    yes   
    31269      2016-12-14   yes   
    26994      2016-5-22    yes   
    91053      2017-8-6     yes   
    38093      2016-7-19    yes   
    58334      2018-11-9    yes   
    68482      2018-3-11    yes   
    34779      2019-10-16   yes   
    28517      2016-5-17    yes   
    61043      2018-5-6     yes   
    84732      2015-10-1    yes   
    30230      2018-2-24    yes   
    59462      2017-3-18    yes   
    51334      2017-5-12    yes   
    65536      2017-12-2    yes   
    97670      2016-10-15   yes   
    16252      2018-2-11    yes   
    45072      2016-2-3     yes   
    46567      2016-7-22    yes   
    84336      2015-3-24    yes   
    71097      2020-6-12    yes   
    10521      2020-2-16    yes   
    52071      2019-6-3     yes   
    82272      2019-9-6     yes   
    95256      2020-3-22    yes   
    32493      2017-11-8    yes   
    65369      2017-10-8    yes   
    81148      2020-7-11    yes   
    17812      2019-5-22    yes   
    24213      2018-11-9    yes   
    62802      2015-9-1     yes   
    82223      2016-4-10    yes   
    96335      2015-1-10    yes   
    11109      2020-8-24    yes   
    60279      2015-7-11    yes   
    79283      2016-1-8     yes   
    16942      2020-9-12    yes   
    70418      2020-2-7     yes   
    15138      2018-8-13    yes   
    11725      2015-4-3     yes   
    53073      2016-1-8     yes   
    77680      2018-6-6     yes   
    12739      2015-1-18    yes   
    13987      2019-12-12   yes   
    92499      2019-12-11   yes   
    70354      2020-6-21    yes   
    66191      2018-9-13    yes   
    52101      2018-10-20   yes   
    94615      2019-11-2    yes   
    64028      2017-8-11    yes   
    95948      2017-4-10    yes   
    14641      2018-3-25    yes   
    52411      2019-10-23   yes   
    89924      2019-8-8     yes   
    63921      2017-4-8     yes   
    84240      2015-10-17   yes   
    48534      2017-6-8     yes   
    68718      2019-10-16   yes   
    94299      2020-11-7    yes   
    44653      2017-1-2     yes   
    37698      2019-9-7     yes   
    46998      2016-2-9     yes   
    16294      2020-4-19    yes   
    15832      2018-1-13    yes   
    31299      2018-12-23   yes   
    57665      2016-11-13   yes   
    61607      2020-7-17    yes   
    32313      2017-7-16    yes   
    78008      2015-5-17    yes   
    34941      2016-5-13    yes   
    28219      2018-9-19    yes   
    13706      2015-1-18    yes   
    71769      2015-6-23    yes   
    83555      2016-5-13    yes   
    58478      2017-8-6     yes   
    55932      2020-12-11   yes   
    87079      2017-8-17    yes   
    56097      2018-9-9     yes   
    46274      2020-12-15   yes   
    98297      2016-3-22    yes   
    95504      2019-4-15    yes   
    26057      2019-4-7     yes   
    45983      2017-8-13    yes   
    34121      2015-5-14    yes   
    38920      2017-6-16    yes   
    43706      2015-11-7    yes   
    31308      2018-9-2     yes   
    47940      2018-11-12   yes   
    83527      2015-2-11    yes   
    69882      2015-11-3    yes   
    52858      2015-8-19    yes   
    96159      2018-8-21    yes   
    82980      2018-5-3     yes   
    16753      2017-10-11   yes   
    39914      2016-1-8     yes   
    11974      2019-9-13    yes   
    50378      2019-6-19    yes   
    37268      2017-9-3     yes   
    64193      2017-12-14   yes   
    81804      2020-10-25   yes   
    51319      2016-6-6     yes   
    12439      2019-4-17    yes   
    20818      2020-11-13   yes   
    37577      2020-10-8    yes   
    15834      2016-5-4     yes   
    53518      2017-2-10    yes   
    31803      2017-4-2     yes   
    76578      2017-2-5     yes   
    87150      2017-5-13    yes   
    59407      2018-9-1     yes   
    27602      2019-10-15   yes   
    75964      2017-2-10    yes   
    39557      2017-2-10    yes   
    63762      2015-10-4    yes   
    84947      2017-3-18    yes   
    92553      2018-1-24    yes   
    88040      2019-8-9     yes   
    34296      2018-11-20   yes   
    32267      2016-4-21    yes   
    91838      2020-4-25    yes   
    71880      2016-1-25    yes   
    40300      2017-11-20   yes   
    31491      2018-9-18    yes   
    55853      2015-11-10   yes   
    16161      2016-9-15    yes   
    61372      2018-7-22    yes   
    19552      2017-12-2    yes   
    10274      2020-9-3     yes   
    29725      2018-9-1     yes   
    67431      2017-7-13    yes   
    82825      2017-8-4     yes   
    34794      2019-3-17    yes   
    20273      2017-3-5     yes   
    86852      2017-1-20    yes   
    94203      2019-9-14    yes   
    98823      2019-6-13    yes   
    82717      2019-6-11    yes   
    29169      2017-5-25    yes   
    35721      2016-7-17    yes   
    82505      2017-7-14    yes   
    33587      2015-7-12    yes   
    62956      2019-6-25    yes   
    72160      2016-5-20    yes   
    13892      2019-9-7     yes   
    83867      2018-2-18    yes   
    10767      2017-1-4     yes   
    61575      2017-7-7     yes   
    30165      2019-5-24    yes   
    55953      2017-4-16    yes   
    38633      2018-5-25    yes   
    49822      2018-5-10    yes   
    65609      2018-5-21    yes   
    83032      2018-1-19    yes   
    17095      2019-8-15    yes   
    47663      2016-10-17   yes   
    23483      2016-9-5     yes   
    75565      2017-7-24    yes   
    88065      2020-9-2     yes   
    50920      2016-3-5     yes   
    55247      2020-11-19   yes   
    84880      2017-7-5     yes   
    66411      2015-7-17    yes   
    83338      2015-3-23    yes   
    57242      2016-4-14    yes   
    46743      2017-1-25    yes   
    97749      2019-12-18   yes   
    92012      2019-12-1    yes   
    61829      2019-5-8     yes   
    18753      2019-1-21    yes   
    18592      2017-3-15    yes   
    69716      2019-12-5    yes   
    91948      2019-2-19    yes   
    87862      2019-10-2    yes   
    97255      2016-12-11   yes   
    19392      2016-9-6     yes   
    73872      2017-2-10    yes   
    27598      2019-1-15    yes   
    95986      2015-11-22   yes   
    70172      2017-8-4     yes   
    41002      2019-12-5    yes   
    92955      2018-7-15    yes   
    28407      2020-11-14   yes   
    87531      2019-3-11    yes   
    36764      2018-4-20    yes   
    17848      2015-11-12   yes   
    70972      2015-9-12    yes   
    99081      2018-12-16   yes   
    90651      2017-7-5     yes   
    70980      2015-4-21    yes   
    37677      2019-9-14    yes   
    86203      2019-11-3    yes   
    59187      2016-4-11    yes   
    77739      2016-2-22    yes   
    47902      2019-2-9     yes   
    94412      2018-1-22    yes   
    94482      2017-1-16    yes   
    32636      2020-10-23   yes   
    31389      2019-6-21    yes   
    91435      2019-7-25    yes   
    10784      2019-8-13    yes   
    86211      2019-4-1     yes   
    42222      2017-2-7     yes   
    82216      2016-9-23    yes   
    30113      2020-3-1     yes   
    77197      2017-12-6    yes   
    68358      2018-10-8    yes   
    71179      2016-1-5     yes   
    68242      2020-7-20    yes   
    43554      2016-6-23    yes   
    57101      2019-9-11    yes   
    30106      2020-12-21   yes   
    22785      2017-3-12    yes   
    60843      2020-9-22    yes   
    92572      2015-10-6    yes   
