Membership No  Date Joined  Active  
    62297      2020-9-17    yes   
    73397      2018-5-13    yes   
    69629      2019-4-7     yes   
    72770      2016-8-6     yes   
    10030      2016-2-5     yes   
    79692      2018-7-24    yes   
    32277      2016-7-18    yes   
    82847      2015-3-19    yes   
    54459      2019-7-2     yes   
    56129      2017-4-9     yes   
    50559      2016-7-21    yes   
    41103      2018-11-21   yes   
    28568      2020-6-24    yes   
    45854      2016-3-15    yes   
    46152      2019-5-16    yes   
    27566      2020-2-8     yes   
    79958      2020-8-21    yes   
    39199      2020-11-21   yes   
    16861      2017-12-3    yes   
    14473      2020-9-16    yes   
    53048      2018-4-10    yes   
    90641      2020-3-4     yes   
    99010      2017-5-8     yes   
    36116      2019-7-16    yes   
    54686      2017-11-19   yes   
    39663      2017-7-25    yes   
    79340      2020-1-16    yes   
    10540      2015-9-17    yes   
    90038      2019-10-12   yes   
    28469      2017-9-15    yes   
    90572      2019-12-13   yes   
    52572      2019-2-13    yes   
    48238      2018-5-3     yes   
    17511      2018-8-23    yes   
    97846      2015-3-8     yes   
    33791      2019-3-1     yes   
    99785      2017-9-13    yes   
    22619      2018-7-4     yes   
    16144      2015-1-5     yes   
    82800      2020-3-19    yes   
    66881      2017-11-7    yes   
    34207      2017-6-20    yes   
    22594      2020-7-21    yes   
    97883      2020-7-12    yes   
    24096      2019-4-5     yes   
    90388      2016-2-8     yes   
    99397      2019-10-25   yes   
    31564      2015-3-3     yes   
    38597      2018-8-13    yes   
    92820      2016-9-20    yes   
    89036      2018-11-1    yes   
    82931      2018-1-17    yes   
    95211      2015-7-25    yes   
    41814      2017-1-10    yes   
    52041      2017-8-10    yes   
    75080      2018-10-14   yes   
    67759      2018-1-19    yes   
    74694      2016-4-22    yes   
    37132      2019-6-17    yes   
    26242      2019-5-3     yes   
    49028      2018-5-1     yes   
    36554      2019-12-1    yes   
    84412      2019-3-12    yes   
    61514      2015-4-12    yes   
    32170      2015-2-17    yes   
    52648      2017-7-18    yes   
    39005      2015-8-10    yes   
    59004      2016-5-22    yes   
    10526      2017-5-24    yes   
    97613      2015-10-23   yes   
